Time,States,Thpt
2705.478317,3593076,1328.07421793874
2689.586215,3596191,1337.07965186013
2694.048846,3596368,1334.93051001645
2721.345566,3592874,1320.25643670128
2717.153387,3596608,1323.66763584554
2786.782202,3591667,1288.82228306983
2754.227056,3594198,1304.97519882035
2687.927961,3591585,1336.19094414413
2697.16166,3589627,1330.89056293348
2439.121778,3593580,1473.30897227551
2700.630834,3593167,1330.49173354732
2740.533857,3590613,1310.18742601143
2729.913743,3593475,1316.33279960377
2736.291587,3592491,1312.90503434201
716.896659,16168,22.5527623779873
406.227375,15207,37.4347002094578
661.709337,15636,23.6297103965453
646.351295,16568,25.6331195251957
514.546635,16519,32.1039899522421
480.828514,17289,35.956686212665
425.907558,15009,35.240041455193
2765.785269,3589942,1297.98290570041
2364.761196,3543156,1498.31450464988
426.753218,3064,7.17979354522407
463.026323,2986,6.44887742159748
680.504507,3125,4.59218119476761
2302.978085,3591010,1559.28969684486
2345.222939,3352261,1429.39971473646
3575.800769,3591449,1004.37614733339
2453.258451,3393536,1383.27700394417
2923.533241,3590594,1228.16937726073
2815.830184,3593742,1276.26375355312
2340.115722,3589751,1534.0057614467
2372.635299,3595368,1515.34793464269
2353.261815,3591166,1526.03759475866
2390.913268,3592396,1502.52041681338
2726.418532,3598775,1319.96425264909
2441.068782,3593652,1472.16335176581
2517.464071,3595166,1428.09029189915
2501.160053,3595098,1437.37222881354
2445.88716,3596164,1470.2902320318
2356.890291,3594397,1525.05910594376
364.336492,7438,20.4151935458609
376.866824,7457,19.7868305860746
618.202832,7346,11.8828313617302
463.201439,7212,15.5698998163086
449.089762,7227,16.0925512258727
490.782844,7377,15.0310877614948
2279.138449,3592187,1576.11618617382
2284.144887,3593862,1573.39493674597
2715.342754,3593772,1323.50584275447
2699.37751,3591561,1330.51453036667
2362.430381,3595604,1521.99363372478
2715.452693,3593255,1323.26186689344
2710.488674,3592140,1325.27393840717
509.999731,2311,4.53137493909776
345.79121,2164,6.2581116506692
503.125586,2528,5.02459042104847
2332.429847,3591032,1539.60986420185
2318.073472,3588989,1548.26369541405
2337.982253,3593860,1537.16307956936
2701.462431,3593969,1330.37904164731
2737.184745,3594924,1313.36549590481
2726.327864,3590695,1317.04445654303
2736.160089,3591090,1312.45610022492
2701.236809,3595182,1330.93921570354
2749.609941,3589449,1305.43934486015
2756.342166,3593605,1303.75867130278
2737.027087,3588483,1311.08786502119
2701.263937,3590353,1329.1381678117
2746.881415,3593263,1308.12454457558
2720.847912,3594930,1321.25356369423
665.368929,3243,4.87398773620822
463.457443,3184,6.87010220267409
370.905647,3135,8.45228436222757
461.719123,3101,6.71620438818169
358.011567,2903,8.10867655569352
391.97014,3496,8.91904674167272
454.438301,15512,34.134446779388
447.304394,14236,31.8262020023886
667.36834,16523,24.7584414927445
465.378239,15191,32.6422654240178
843.811099,15681,18.5835431870753
546.725317,15981,29.2304005376799
524.744507,15746,30.0069839511441
1031.672724,15628,15.148214774359
1254.594575,1400622,1116.39411480796
2533.395467,3593140,1418.30995073775
2334.023018,3596581,1540.93638848595
2594.046449,3584226,1381.71234419558
2381.739302,3596869,1510.18585324583
2499.173517,3592042,1437.29195894804
2425.634244,3593786,1481.58610841248
2582.19213,3594480,1392.02654916309
2681.939543,3594418,1340.23080773078
2717.556586,3594761,1322.79159098989
2828.265206,3595637,1271.32243198837
2723.971691,3596667,1320.37605672753
2713.751657,3594698,1324.62305116522
2737.558706,3597214,1314.02259689112
2728.171365,3592017,1316.63906676918
2415.542753,3593316,1487.58120531597
2789.291552,3596129,1289.2625001576
2360.223187,3595882,1523.53473171773
2738.533553,3591875,1311.60525532549
2595.840324,3591347,1383.50073646518
2492.219667,3590972,1440.87298866501
2750.723843,3594327,1306.68406032354
505.911427,3145,6.21650319038949
623.000598,3102,4.9791284470003
388.527664,3087,7.9453801776133
581.321747,3131,5.38600184176492
2764.988318,3589449,1298.1787216361
2258.175259,3591193,1590.3074775473
2747.285013,3595095,1308.59921085297
2417.647768,3594819,1486.9076660302
2727.356818,3590202,1316.36681211105
563.65686,3564,6.32299587376618
380.135606,2968,7.80774006210826
576.408102,3244,5.62795697830077
652.290327,2740,4.20058352329361
404.349558,10819,26.7565520623124
614.692016,11049,17.9748552322176
2299.881333,2912116,1266.20272020791
2858.408099,3593118,1257.03464150449
2373.529701,3587695,1511.54417763909
2402.020787,3592746,1495.71811345028
2465.852137,3593286,1457.21876266744
2441.418013,3590412,1470.62566954199
2445.256227,3590609,1468.39785555119
3534.184281,3583323,1013.90383610277
3662.621938,3590938,980.428245335323
3528.819592,3587929,1016.75047603284
2415.086173,3592775,1487.63842887523
2710.105284,3596060,1326.90785897896
3668.769407,3595116,979.924220132378
2361.230738,3595617,1522.77240090714
2412.619114,3592653,1489.10906788082
2630.888507,3595997,1366.83747351214
2468.618439,3591842,1455.00087954257
2690.30314,3589078,1334.07940043515
2690.774055,3594418,1335.83048094315
2557.278309,3593028,1405.02032467675
2400.253859,3597490,1498.79563218317
2563.689995,3591773,1401.01689635061
2605.929767,3593017,1378.78504843066
2750.500713,3590663,1305.45794190456
2565.058101,3591469,1400.15113053379
2251.027273,3595282,1597.17389616896
2603.519286,3592996,1380.05353727193
2556.402156,3594144,1405.93841683491
2553.569052,3592616,1406.89988280763
2602.3477,3595144,1381.50025071592
2420.927309,3597067,1485.82197682169
2423.242064,3588907,1481.03528463676
2679.548142,3587300,1338.77049782075
2214.44608,3593306,1622.66583614445
2573.732508,3596773,1397.49293635607
2433.804943,3591215,1475.5558001182
417.534436,3008,7.20419620670521
